"filename", "language", "JSON", "YAML", "censitive", "JSON with Comments", "XML", "PowerShell", "TypeScript", "Markdown", "Mermaid Radar", "C#", "PostCSS", "ASP.NET Razor", "XAML", "JavaScript", "HTML", "comment", "blank", "total"
"d:\workshops\eShop\.aspire\settings.json", "JSON with Comments", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\workshops\eShop\.bmad-viewer\integrations.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\workshops\eShop\.censitive", "censitive", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\workshops\eShop\.config\CredScanSuppressions.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\workshops\eShop\.config\configuration.vs.winget", "YAML", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 117
"d:\workshops\eShop\.config\configuration.vsCode.winget", "YAML", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 182
"d:\workshops\eShop\.config\tsaoptions.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\workshops\eShop\.devcenter\catalog\definitions\imagedefinition.yaml", "YAML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\workshops\eShop\.github\dependabot.yml", "YAML", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"d:\workshops\eShop\.github\instructions\dotnet-api.instructions.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\workshops\eShop\.github\instructions\prompt-workflow.instructions.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\workshops\eShop\.github\instructions\review-severity.instructions.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\workshops\eShop\.github\instructions\test-validation.instructions.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\workshops\eShop\.github\workflows\markdownlint-problem-matcher.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\workshops\eShop\.github\workflows\markdownlint.yml", "YAML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 27
"d:\workshops\eShop\.github\workflows\playwright.yml", "YAML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 48
"d:\workshops\eShop\.github\workflows\pr-validation-maui.yml", "YAML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"d:\workshops\eShop\.github\workflows\pr-validation.yml", "YAML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\workshops\eShop\.markdownlint.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 21
"d:\workshops\eShop\.spectral.yml", "YAML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\workshops\eShop\CODE-OF-CONDUCT.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"d:\workshops\eShop\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 18, 39
"d:\workshops\eShop\Directory.Build.props", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 22
"d:\workshops\eShop\Directory.Build.targets", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"d:\workshops\eShop\Directory.Packages.props", "XML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 96
"d:\workshops\eShop\IMPROVEMENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 467, 0, 0, 0, 0, 0, 0, 0, 0, 153, 620
"d:\workshops\eShop\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 49, 162
"d:\workshops\eShop\bootcamp-eShop\ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 64, 197
"d:\workshops\eShop\bootcamp-eShop\BOOTCAMP.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 24, 81
"d:\workshops\eShop\bootcamp-eShop\CODEMAP.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 55, 124
"d:\workshops\eShop\bootcamp-eShop\DEPENDENCIES.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 18, 54
"d:\workshops\eShop\bootcamp-eShop\FIRST_TASKS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 58, 139
"d:\workshops\eShop\bootcamp-eShop\ONBOARDING.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 38, 122
"d:\workshops\eShop\bootcamp-eShop\RADAR.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 15, 46
"d:\workshops\eShop\bootcamp-eShop\SECURITY.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 13, 32
"d:\workshops\eShop\bootcamp-eShop\diagrams.mmd", "Mermaid Radar", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 7, 54
"d:\workshops\eShop\bootcamp-eShop\repo_facts.json", "JSON", 540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 540
"d:\workshops\eShop\build\acr-build\queue-all.ps1", "PowerShell", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"d:\workshops\eShop\build\local\open-aspire-dashboard.ps1", "PowerShell", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 82
"d:\workshops\eShop\build\local\run-local.ps1", "PowerShell", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 53
"d:\workshops\eShop\build\multiarch-manifests\create-manifests.ps1", "PowerShell", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\workshops\eShop\ci.yml", "YAML", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 46
"d:\workshops\eShop\e2e\AddItemTest.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\workshops\eShop\e2e\BrowseItemTest.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"d:\workshops\eShop\e2e\RemoveItemTest.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\workshops\eShop\e2e\login.setup.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\workshops\eShop\eShop.slnx", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"d:\workshops\eShop\es-metadata.yml", "YAML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\workshops\eShop\global.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
