"filename", "language", "YAML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "JSON", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "XML", "ASP.NET Razor", "censitive", "Mermaid Radar", "comment", "blank", "total"
"d:\workshops\eShop\.bmad-viewer\integrations.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15
"d:\workshops\eShop\.censitive", "censitive", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -2
"d:\workshops\eShop\.github\skills\bmad-advanced-elicitation\SKILL.md", "Skill", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 138
"d:\workshops\eShop\.github\skills\bmad-advanced-elicitation\methods.csv", "CSV", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\workshops\eShop\.github\skills\bmad-agent-analyst\SKILL.md", "Skill", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 57
"d:\workshops\eShop\.github\skills\bmad-agent-analyst\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-architect\SKILL.md", "Skill", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 53
"d:\workshops\eShop\.github\skills\bmad-agent-architect\bmad-skill-manifest.yaml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-builder\SKILL.md", "Skill", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 63
"d:\workshops\eShop\.github\skills\bmad-agent-builder\assets\SKILL-template.md", "Markdown", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 63
"d:\workshops\eShop\.github\skills\bmad-agent-builder\assets\autonomous-wake.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 33
"d:\workshops\eShop\.github\skills\bmad-agent-builder\assets\init-template.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 52
"d:\workshops\eShop\.github\skills\bmad-agent-builder\assets\memory-system.md", "Markdown", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 123
"d:\workshops\eShop\.github\skills\bmad-agent-builder\assets\save-memory.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"d:\workshops\eShop\.github\skills\bmad-agent-builder\build-process.md", "Markdown", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 156
"d:\workshops\eShop\.github\skills\bmad-agent-builder\quality-analysis.md", "Markdown", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 131
"d:\workshops\eShop\.github\skills\bmad-agent-builder\quality-scan-agent-cohesion.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 138
"d:\workshops\eShop\.github\skills\bmad-agent-builder\quality-scan-enhancement-opportunities.md", "Markdown", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 180
"d:\workshops\eShop\.github\skills\bmad-agent-builder\quality-scan-execution-efficiency.md", "Markdown", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 145
"d:\workshops\eShop\.github\skills\bmad-agent-builder\quality-scan-prompt-craft.md", "Markdown", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 216
"d:\workshops\eShop\.github\skills\bmad-agent-builder\quality-scan-script-opportunities.md", "Markdown", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 221
