Date : 2026-04-17 11:48:56
Directory : d:\workshops\eShop
Total : 3265 files,  566445 codes, 4850 comments, 198844 blanks, all 770139 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| Markdown      |      2,754 |    531,422 |        785 |    191,912 |    724,119 |
| Python        |         64 |     16,798 |      2,740 |      3,164 |     22,702 |
| YAML          |        152 |      6,515 |        809 |      1,035 |      8,359 |
| Skill         |        160 |      3,762 |          0 |      1,860 |      5,622 |
| CSV           |         60 |      3,370 |          0 |         35 |      3,405 |
| HTML          |         10 |      2,419 |        232 |        407 |      3,058 |
| C#            |         31 |        739 |         34 |        165 |        938 |
| JavaScript    |          2 |        550 |        166 |        146 |        862 |
| PostCSS       |          3 |        341 |         34 |         58 |        433 |
| Groovy        |          2 |        190 |         50 |         20 |        260 |
| JSON          |         16 |        122 |          0 |          6 |        128 |
| ASP.NET Razor |          1 |        117 |          0 |         15 |        132 |
| XML           |          4 |         74 |          0 |         16 |         90 |
| TypeScript    |          3 |         63 |          0 |         12 |         75 |
| PowerShell    |          1 |         11 |          0 |          1 |         12 |
| censitive     |          1 |         -1 |          0 |         -1 |         -2 |
| Mermaid Radar |          1 |        -47 |          0 |         -7 |        -54 |
+---------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |      3,265 |    566,445 |      4,850 |    198,844 |    770,139 |
| . (Files)                                                                                                                                   |          3 |         67 |          0 |          5 |         72 |
| .bmad-viewer                                                                                                                                |          1 |        -15 |          0 |          0 |        -15 |
| .github                                                                                                                                     |      1,560 |    276,208 |      2,389 |     97,089 |    375,686 |
| .github\skills                                                                                                                              |      1,553 |    275,764 |      2,390 |     97,018 |    375,172 |
| .github\skills\bmad-advanced-elicitation                                                                                                    |          2 |        148 |          0 |         42 |        190 |
| .github\skills\bmad-agent-analyst                                                                                                           |          2 |         48 |          0 |         21 |         69 |
| .github\skills\bmad-agent-architect                                                                                                         |          2 |         44 |          0 |         21 |         65 |
| .github\skills\bmad-agent-builder                                                                                                           |         27 |      4,017 |        265 |      1,261 |      5,543 |
| .github\skills\bmad-agent-builder (Files)                                                                                                   |         10 |      1,159 |          0 |        534 |      1,693 |
| .github\skills\bmad-agent-builder\assets                                                                                                    |          5 |        178 |          0 |        111 |        289 |
| .github\skills\bmad-agent-builder\references                                                                                                |          6 |        482 |          0 |        271 |        753 |
| .github\skills\bmad-agent-builder\scripts                                                                                                   |          6 |      2,198 |        265 |        345 |      2,808 |
| .github\skills\bmad-agent-dev                                                                                                               |          2 |         52 |          0 |         23 |         75 |
| .github\skills\bmad-agent-pm                                                                                                                |          2 |         49 |          0 |         21 |         70 |
| .github\skills\bmad-agent-qa                                                                                                                |          2 |         48 |          0 |         24 |         72 |
| .github\skills\bmad-agent-quick-flow-solo-dev                                                                                               |          2 |         43 |          0 |         21 |         64 |
| .github\skills\bmad-agent-sm                                                                                                                |          2 |         45 |          0 |         21 |         66 |
| .github\skills\bmad-agent-tech-writer                                                                                                       |          6 |        102 |          0 |         49 |        151 |
| .github\skills\bmad-agent-ux-designer                                                                                                       |          2 |         45 |          0 |         21 |         66 |
| .github\skills\bmad-bmb-setup                                                                                                               |          6 |        658 |        170 |        169 |        997 |
| .github\skills\bmad-bmb-setup (Files)                                                                                                       |          1 |         46 |          0 |         31 |         77 |
| .github\skills\bmad-bmb-setup\assets                                                                                                        |          2 |         27 |          0 |          5 |         32 |
| .github\skills\bmad-bmb-setup\scripts                                                                                                       |          3 |        585 |        170 |        133 |        888 |
