"filename", "language", "JSON", "YAML", "JSON with Comments", "XML", "Markdown", "HTML", "TypeScript", "CSV", "Skill", "Python", "PowerShell", "Groovy", "JavaScript", "PostCSS", "C#", "ASP.NET Razor", "XAML", "comment", "blank", "total"
"d:\workshops\eShop\.aspire\settings.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\workshops\eShop\.config\CredScanSuppressions.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\workshops\eShop\.config\configuration.vs.winget", "YAML", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 117
"d:\workshops\eShop\.config\configuration.vsCode.winget", "YAML", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 182
"d:\workshops\eShop\.config\tsaoptions.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\workshops\eShop\.devcenter\catalog\definitions\imagedefinition.yaml", "YAML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\workshops\eShop\.github\dependabot.yml", "YAML", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"d:\workshops\eShop\.github\instructions\dotnet-api.instructions.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\workshops\eShop\.github\instructions\prompt-workflow.instructions.md", "Markdown", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\workshops\eShop\.github\instructions\review-severity.instructions.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\workshops\eShop\.github\instructions\test-validation.instructions.md", "Markdown", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\workshops\eShop\.github\skills\bmad-advanced-elicitation\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 138
"d:\workshops\eShop\.github\skills\bmad-advanced-elicitation\methods.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"d:\workshops\eShop\.github\skills\bmad-agent-analyst\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 57
"d:\workshops\eShop\.github\skills\bmad-agent-analyst\bmad-skill-manifest.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-architect\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 53
"d:\workshops\eShop\.github\skills\bmad-agent-architect\bmad-skill-manifest.yaml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\workshops\eShop\.github\skills\bmad-agent-builder\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 63
"d:\workshops\eShop\.github\skills\bmad-agent-builder\assets\SKILL-template.md", "Markdown", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 63
